Case Number,Year,Type,time,Country,Activity,sex,age,fatal
2016.01.28,2016.0,Unprovoked,Afternoon,USA,Surfing,M,,N
2016.01.25,2016.0,Unprovoked,Morning,USA,Surfing,F,15.0,N
2016.01.24.b,2016.0,Unprovoked,Morning,USA,Spearfishing,M,,N
2016.01.24.a,2016.0,Boating,,UNITED ARAB EMIRATES (UAE),Fishing,M,,N
2016.01.23,2016.0,Unprovoked,Morning,USA,boarding,M,48.0,N
2016.01.11.R,2016.0,Unprovoked,,AUSTRALIA,Surfing,M,,N
2016.01.05,2016.0,Unprovoked,Afternoon,AUSTRALIA,Wading,M,11.0,N
2016.01.02,2016.0,Unprovoked,Morning,AUSTRALIA,Spearfishing,M,31.0,N
2015.12.26,2015.0,Boating,Morning,SOUTH AFRICA,Fishing,M,,N
2015.12.25,2015.0,Unprovoked,,SPAIN,Swimming,F,38.0,N
2015.12.22,2015.0,Unprovoked,Morning,USA,boarding,M,71.0,N
2015.12.21.b,2015.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,43.0,N
2015.12.21.a,2015.0,Unprovoked,,BRAZIL,diving,M,32.0,N
2015.12.19,2015.0,Unprovoked,,ARUBA,,M,58.0,Y
2015.12.13,2015.0,Boating,Morning,AUSTRALIA,Fishing,,,N
2015.12.11,2015.0,Unprovoked,,BAHAMAS,fishing,M,26.0,N
2015.12.08,2015.0,Unprovoked,Morning,SOUTH AFRICA,Swimming,F,22.0,N
2015.11.20,2015.0,Unprovoked,Morning,ECUADOR,Snorkeling,M,55.0,N
2015.11.16,2015.0,Unprovoked,Afternoon,USA,Surfing,M,,N
2015.11.15.b,2015.0,Unprovoked,Morning,USA,Swimming,F,,N
2015.11.15.a,2015.0,Unprovoked,,USA,Surfing,M,28.0,N
2015.11.10,2015.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,20.0,N
2015.12.23,2015.0,Invalid,Morning,USA,Surfing,F,9.0,
